#                          filename    julian_date ast_mag ast_sig        ast_ra       ast_dec    [1]   [2]    [3]   [4]    [5]       ZP ZP_sig inst_mag in_sig   [6] [7] [8] [9]
                     rlmi.0261.ldac 2457722.9919157  21.0257 0.0398  170.99060765  +10.11697690 -0.24  0.05  0.00  0.00 60.00  30.0105 0.0191  -8.9848 0.0350 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0262.ldac 2457722.9928843  21.0783 0.0396  170.99073556  +10.11692723 -0.13  0.01  0.00  0.00 60.00  30.1031 0.0207  -9.0248 0.0337 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0263.ldac 2457722.9938528  21.0918 0.0385  170.99090150  +10.11687027 -0.11  0.04  0.00  0.00 60.00  30.1297 0.0196  -9.0379 0.0332 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0264.ldac 2457722.9948219  21.0459 0.0377  170.99106257  +10.11682202 -0.12 -0.01  0.00  0.00 60.00  30.1314 0.0201  -9.0855 0.0319 SDSS-R9_transformed V   2 DCTLMI
                     rlmi.0265.ldac 2457722.9957904  21.0042 0.0352  170.99123149  +10.11677202 -0.11 -0.04  0.00  0.00 60.00  30.1549 0.0182  -9.1507 0.0301 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0266.ldac 2457722.9967589  21.0092 0.0372  170.99141122  +10.11670325 -0.15  0.02  0.00  0.00 60.00  30.1093 0.0201  -9.1001 0.0313 SDSS-R9_transformed V   2 DCTLMI
                     rlmi.0267.ldac 2457722.9977275  21.0126 0.0365  170.99156842  +10.11663742 -0.14  0.05  0.00  0.00 60.00  30.1410 0.0197  -9.1285 0.0307 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0268.ldac 2457722.9986961  20.9975 0.0365  170.99172620  +10.11660223 -0.09 -0.01  0.00  0.00 60.00  30.1294 0.0200  -9.1319 0.0305 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0269.ldac 2457722.9996653  21.0442 0.0377  170.99189327  +10.11653922 -0.08  0.00  0.00  0.00 60.00  30.1257 0.0200  -9.0815 0.0319 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0270.ldac 2457723.0006338  21.0888 0.0393  170.99206336  +10.11648805 -0.12 -0.03  0.00  0.00 60.00  30.0730 0.0181  -8.9842 0.0349 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0271.ldac 2457723.0016023  21.0498 0.0376  170.99223708  +10.11642641 -0.13  0.01  0.00  0.00 60.00  30.1010 0.0184  -9.0512 0.0328 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0272.ldac 2457723.0025709  21.0887 0.0388  170.99239529  +10.11637137 -0.13 -0.00  0.00  0.00 60.00  30.0937 0.0182  -9.0050 0.0342 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0273.ldac 2457723.0035395  21.0091 0.0363  170.99256770  +10.11630851 -0.14  0.04  0.00  0.00 60.00  30.1391 0.0193  -9.1300 0.0307 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0274.ldac 2457723.0045087  21.0453 0.0368  170.99272961  +10.11625952 -0.14  0.00  0.00  0.00 60.00  30.1316 0.0183  -9.0864 0.0319 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0275.ldac 2457723.0054774  21.0321 0.0370  170.99289499  +10.11619834 -0.13  0.01  0.00  0.00 60.00  30.1108 0.0183  -9.0786 0.0322 SDSS-R9_transformed V   0 DCTLMI
#
# [1]: Horizons_RA - image_RA [arcsec]
# [2]: Horizons_DDec - image_Dec [arcsec]
# [3,4]: manual target offsets in RA and DEC [arcsec]
# [5]: exposure time (s)
# [6]: photometric catalog
# [7]: photometric band
# [8]: Source Extractor flag
# [9]: telescope/instrument
