#                          filename    julian_date ast_mag ast_sig        ast_ra       ast_dec    [1]   [2]    [3]   [4]    [5]       ZP ZP_sig inst_mag in_sig   [6] [7] [8] [9]
                     rlmi.0276.ldac 2457723.0077981  20.6339 0.0315  178.60261285   +3.08315803 -0.05  0.01  0.00  0.00 60.00  29.8605 0.0235  -9.2267 0.0209 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0277.ldac 2457723.0087670  20.6652 0.0337  178.60270974   +3.08310135 -0.04 -0.04  0.00  0.00 60.00  29.7314 0.0239  -9.0662 0.0238 SDSS-R9_transformed V   2 DCTLMI
                     rlmi.0278.ldac 2457723.0097355  20.6381 0.0319  178.60282876   +3.08302854 -0.10 -0.03  0.00  0.00 60.00  29.7403 0.0221  -9.1021 0.0230 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0279.ldac 2457723.0107041  20.6870 0.0322  178.60292361   +3.08295210 -0.08 -0.01  0.00  0.00 60.00  29.8221 0.0232  -9.1351 0.0224 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0280.ldac 2457723.0116726  20.6583 0.0315  178.60302119   +3.08287483 -0.08  0.02  0.00  0.00 60.00  29.8867 0.0237  -9.2284 0.0208 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0281.ldac 2457723.0126411  20.6654 0.0324  178.60312751   +3.08280895 -0.06  0.00  0.00  0.00 60.00  29.8197 0.0237  -9.1543 0.0221 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0282.ldac 2457723.0136096  20.6586 0.0318  178.60322898   +3.08273811 -0.07  0.01  0.00  0.00 60.00  29.7948 0.0225  -9.1362 0.0225 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0283.ldac 2457723.0145782  20.6786 0.0322  178.60332685   +3.08268164 -0.06 -0.04  0.00  0.00 60.00  29.8439 0.0236  -9.1653 0.0220 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0284.ldac 2457723.0155472  20.6724 0.0322  178.60342911   +3.08260356 -0.07 -0.05  0.00  0.00 60.00  29.8296 0.0234  -9.1572 0.0222 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0285.ldac 2457723.0165160  20.6844 0.0334  178.60352831   +3.08251398 -0.07  0.02  0.00  0.00 60.00  29.7322 0.0229  -9.0478 0.0243 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0286.ldac 2457723.0174847  20.7450 0.0354  178.60362906   +3.08245429 -0.07 -0.02  0.00  0.00 60.00  29.6741 0.0230  -8.9291 0.0269 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0287.ldac 2457723.0184534  20.6368 0.0333  178.60373994   +3.08238205 -0.07 -0.01  0.00  0.00 60.00  29.7224 0.0236  -9.0856 0.0235 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0288.ldac 2457723.0194219  20.7397 0.0347  178.60383067   +3.08229752 -0.04  0.04  0.00  0.00 60.00  29.7215 0.0234  -8.9818 0.0256 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0289.ldac 2457723.0203904  20.7288 0.0347  178.60395269   +3.08223959 -0.12  0.00  0.00  0.00 60.00  29.6842 0.0227  -8.9555 0.0263 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0290.ldac 2457723.0213590  20.6991 0.0357  178.60405797   +3.08217481 -0.14 -0.02  0.00  0.00 60.00  29.6058 0.0231  -8.9067 0.0273 SDSS-R9_transformed V   0 DCTLMI
#
# [1]: Horizons_RA - image_RA [arcsec]
# [2]: Horizons_DDec - image_Dec [arcsec]
# [3,4]: manual target offsets in RA and DEC [arcsec]
# [5]: exposure time (s)
# [6]: photometric catalog
# [7]: photometric band
# [8]: Source Extractor flag
# [9]: telescope/instrument
