#                          filename    julian_date ast_mag ast_sig        ast_ra       ast_dec    [1]   [2]    [3]   [4]    [5]       ZP ZP_sig inst_mag in_sig   [6] [7] [8] [9]
                     rlmi.0246.ldac 2457722.9759007  21.0660 0.0473  164.54060070  +14.53330525 -0.18 -0.05  0.00  0.00 60.00  29.5326 0.0215  -8.4666 0.0421 SDSS-R9_transformed V   2 DCTLMI
                     rlmi.0247.ldac 2457722.9768693  21.0005 0.0365  164.54069704  +14.53329950 -0.10 -0.03  0.00  0.00 60.00  29.8746 0.0216  -8.8742 0.0294 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0248.ldac 2457722.9778381  21.0202 0.0377  164.54081661  +14.53330305 -0.13 -0.05  0.00  0.00 60.00  29.8337 0.0215  -8.8135 0.0310 SDSS-R9_transformed V   2 DCTLMI
                     rlmi.0249.ldac 2457722.9788068  20.9400 0.0346  164.54095229  +14.53330891 -0.19 -0.03  0.00  0.00 60.00  29.9395 0.0223  -8.9995 0.0265 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0250.ldac 2457722.9797757  20.9526 0.0339  164.54106375  +14.53330899 -0.16 -0.03  0.00  0.00 60.00  29.9566 0.0214  -9.0040 0.0263 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0251.ldac 2457722.9807443  20.9651 0.0335  164.54116172  +14.53329985 -0.08  0.04  0.00  0.00 60.00  29.9791 0.0213  -9.0140 0.0259 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0252.ldac 2457722.9817128  20.9050 0.0327  164.54127597  +14.53331093 -0.06 -0.00  0.00  0.00 60.00  29.9583 0.0211  -9.0533 0.0249 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0253.ldac 2457722.9826814  20.9500 0.0348  164.54137783  +14.53332556  0.01 -0.06  0.00  0.00 60.00  29.9162 0.0222  -8.9661 0.0268 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0254.ldac 2457722.9836500  20.9343 0.0361  164.54147372  +14.53330977  0.09  0.04  0.00  0.00 60.00  29.7660 0.0200  -8.8317 0.0301 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0255.ldac 2457722.9846185  21.0020 0.0353  164.54162028  +14.53333511 -0.00 -0.05  0.00  0.00 60.00  29.9097 0.0211  -8.9077 0.0283 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0256.ldac 2457722.9855870  20.9894 0.0375  164.54171749  +14.53332874  0.08 -0.03  0.00  0.00 60.00  29.7781 0.0206  -8.7888 0.0313 SDSS-R9_transformed V   2 DCTLMI
                     rlmi.0257.ldac 2457722.9865556  20.9884 0.0419  164.54184955  +14.53333084  0.04 -0.00  0.00  0.00 60.00  29.5842 0.0196  -8.5958 0.0370 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0258.ldac 2457722.9875241  21.0349 0.0376  164.54197454  +14.53335867 -0.02 -0.10  0.00  0.00 60.00  29.7983 0.0197  -8.7634 0.0320 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0259.ldac 2457722.9884926  21.0593 0.0362  164.54211384  +14.53336871 -0.09 -0.10  0.00  0.00 60.00  29.9344 0.0216  -8.8751 0.0290 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0260.ldac 2457722.9894615  21.0659 0.0365  164.54221894  +14.53336049 -0.03 -0.07  0.00  0.00 60.00  29.8931 0.0205  -8.8271 0.0303 SDSS-R9_transformed V   2 DCTLMI
#
# [1]: Horizons_RA - image_RA [arcsec]
# [2]: Horizons_DDec - image_Dec [arcsec]
# [3,4]: manual target offsets in RA and DEC [arcsec]
# [5]: exposure time (s)
# [6]: photometric catalog
# [7]: photometric band
# [8]: Source Extractor flag
# [9]: telescope/instrument
