#                          filename    julian_date ast_mag ast_sig        ast_ra       ast_dec    [1]   [2]    [3]   [4]    [5]       ZP ZP_sig inst_mag in_sig   [6] [7] [8] [9]
                     rlmi.0291.ldac 2457723.0245808  18.7927 0.0208  185.52115764   +3.63783362 -0.06  0.02  0.00  0.00 60.00  29.8804 0.0200 -11.0876 0.0057 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0292.ldac 2457723.0255493  18.8116 0.0205  185.52147217   +3.63751284 -0.08  0.03  0.00  0.00 60.00  29.9413 0.0197 -11.1296 0.0055 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0293.ldac 2457723.0265178  18.7720 0.0198  185.52178472   +3.63718436 -0.05  0.02  0.00  0.00 60.00  29.8823 0.0190 -11.1103 0.0056 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0294.ldac 2457723.0274863  18.7697 0.0207  185.52209812   +3.63685639 -0.07  0.01  0.00  0.00 60.00  29.7312 0.0197 -10.9614 0.0062 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0295.ldac 2457723.0284551  18.8145 0.0204  185.52241831   +3.63652663 -0.07  0.01  0.00  0.00 60.00  29.8580 0.0195 -11.0434 0.0059 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0297.ldac 2457723.0303921  18.7818 0.0186  185.52303869   +3.63587664 -0.07 -0.02  0.00  0.00 60.00  29.7509 0.0175 -10.9692 0.0062 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0296.ldac 2457723.0294236  18.8175 0.0203  185.52273903   +3.63619591 -0.10  0.01  0.00  0.00 60.00  29.7920 0.0193 -10.9744 0.0062 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0299.ldac 2457723.0323292  18.8025 0.0210  185.52368121   +3.63520613 -0.11  0.05  0.00  0.00 60.00  29.8761 0.0202 -11.0736 0.0058 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0300.ldac 2457723.0332977  18.8279 0.0197  185.52399202   +3.63487294 -0.08  0.06  0.00  0.00 60.00  29.8627 0.0188 -11.0347 0.0060 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0298.ldac 2457723.0313606  18.7834 0.0210  185.52336439   +3.63553770 -0.09  0.04  0.00  0.00 60.00  29.7613 0.0200 -10.9778 0.0062 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0301.ldac 2457723.0342662  18.8321 0.0187  185.52430970   +3.63455071 -0.11  0.03  0.00  0.00 60.00  29.8515 0.0177 -11.0194 0.0060 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0302.ldac 2457723.0352347  18.8414 0.0198  185.52462178   +3.63422976 -0.08  0.00  0.00  0.00 60.00  29.8463 0.0188 -11.0049 0.0061 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0303.ldac 2457723.0362034  18.8320 0.0209  185.52494035   +3.63389312 -0.11  0.02  0.00  0.00 60.00  29.9368 0.0201 -11.1048 0.0057 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0304.ldac 2457723.0371723  18.8343 0.0193  185.52525149   +3.63357016 -0.08  0.04  0.00  0.00 60.00  29.9354 0.0185 -11.1011 0.0058 SDSS-R9_transformed V   0 DCTLMI
                     rlmi.0305.ldac 2457723.0381409  18.8258 0.0197  185.52556020   +3.63324391 -0.07  0.02  0.00  0.00 60.00  29.8424 0.0187 -11.0166 0.0062 SDSS-R9_transformed V   0 DCTLMI
#
# [1]: Horizons_RA - image_RA [arcsec]
# [2]: Horizons_DDec - image_Dec [arcsec]
# [3,4]: manual target offsets in RA and DEC [arcsec]
# [5]: exposure time (s)
# [6]: photometric catalog
# [7]: photometric band
# [8]: Source Extractor flag
# [9]: telescope/instrument
